species_name	assembly_version
Chimp	panTro5
Bonobo	panPan2
Gorilla	gorGor5
Orangutan	ponAbe2
Gibbon	nomLeu3
Rhesus	rheMac8
Crab-eating macaque	macFas5
Pig-tailed macaque	macNem1
Sooty mangabey	cerAty1
Baboon	papAnu3
Green monkey	chlSab2
Drill	manLeu1
Proboscis monkey	nasLar1
Angolan colobus	colAng1
Golden snub-nosed monkey	rhiRox1
Black snub-nosed monkey	rhiBie1
Marmoset	calJac3
Squirrel monkey	saiBol1
White-faced sapajou	cebCap1
Ma's night monkey	aotNan1
Tarsier	tarSyr2
Mouse lemur	micMur3
Coquerel's sifaka	proCoq1
Black lemur	eulMac1
Sclater's lemur	eulFla1
Bushbaby	otoGar3
